quantity,value,unit
sector,9,TESS sector
period_days,0.78883852,days; NASA Exoplanet Archive
published_duration_hours,1.607,hours; NASA Exoplanet Archive
a_over_rstar,3.53114178926,fixed from saved a and stellar radius
limb_darkening_u1,0.34,fixed quadratic coefficient
limb_darkening_u2,0.21,fixed quadratic coefficient
quality_filtered_cadences,15846,count
symmetric_outliers_clipped,0,count
n_points,8212,
n_in_transit,1437,
n_out_of_transit,6775,
depth_ppm,22844.1893721,
depth_error_ppm,140.244623281,
depth_snr,162.888165247,
formal_depth_error_ppm,118.194486258,
reduced_chi_square,1.40792008927,
radius_ratio,0.147376248016,
radius_ratio_error,0.000518288268689,
impact_parameter,0.662713319774,
impact_parameter_error,0.0038700452325,
timing_shift_hours,0.0364060864592,
timing_error_minutes,0.149133069566,
fitted_duration_hours,1.64784498604,
chi_square_null,56047.0258087,
dof_null,8210,
p_value_null,0,
chi_square_transit,11554.8001727,
dof_transit,8207,
p_value_transit,8.07483439462e-120,
delta_chi_square,44492.225636,
delta_dof,3,
p_value_improvement,0,
bic_null,56065.0525122,
bic_transit,11599.8669316,
delta_bic,44465.1855807,
transit_supported,True,
